wid,time,text,uid,like_count,username,following,followed,gender
4.34E+15,Fri Feb 08 16:47:36 +0800 2019,"本文审核：刘慈欣<span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span>",5575914736,1,佳佳加肥猫,123,153,f
4.34E+15,Fri Feb 08 16:47:58 +0800 2019,到了半人马座，钓鱼岛的归属应该怎么解决，毕竟中国贡献了这么大的力量,6233453459,1,净心修馋,532,362,m
4.34E+15,Fri Feb 08 16:48:14 +0800 2019,只可惜国产电影不看。少有的几部好的。现在的中国电影就像中国足球,6096412957,1,冰是伤心人的泪,1295,402,m
4.34E+15,Fri Feb 08 16:48:17 +0800 2019,原著和电影都是很棒的作品,5312730441,39,我不要改变-,546,300,f
4.34E+15,Fri Feb 08 16:48:17 +0800 2019,看过的觉得哪里有特别好看了，剧情超级一般啊！别吹了好么！被骗了的感觉！,1621939200,1,LuNaBaBY77,410,5557,f
4.34E+15,Fri Feb 08 16:48:25 +0800 2019,"我们一起#去流浪-周笔畅[音乐]# <span class=""url-icon""><img alt=[馋嘴] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_chanzui-01ee2388fd.png"" style=""width:1em; height:1em;"" /></span>",1214679555,2,linansnoopy,253,559,f
4.34E+15,Fri Feb 08 16:49:04 +0800 2019,"硬核<span class=""url-icon""><img alt=[作揖] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-cb12e18fd5.png"" style=""width:1em; height:1em;"" /></span>",3096438207,5,紫木青禾,390,392,f
4.34E+15,Fri Feb 08 16:49:17 +0800 2019,"吴京的演技有点尬，他真的不适合演配角<span class=""url-icon""><img alt=[摊手] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-3abaa4ed77.png"" style=""width:1em; height:1em;"" /></span>",2405243180,33,胤岚,168,551,m
4.34E+15,Fri Feb 08 16:49:29 +0800 2019,马上就进场了，刚好看到这条科普文，真好！,3132923941,10,扛起我来你就跑啊,144,249,m
4.34E+15,Fri Feb 08 16:49:41 +0800 2019,央视点名，，,1759757661,1,糟糕男,493,902,m
